wordnetid,word,pos,polarity,subjectivity,intensity,confidence,similar word,polarity of similar,subjectivity similar,intensity similar,proposed polarity,proposed subjectivity,intensity,synonym,antonym
n-05200169,ability,NN,#,#,#,#,able,0.5,0.5,1,0.3,0.2,1,#,#
n-05202497,capability,NN,#,#,#,#,capable,0.5,1,1,0.4,0.3,1,ability,#
n-05637558,skill,NN,#,#,#,#,skilled,0.5,0.5,1,0.3,0.3,1,ability,#
n-05153520,competence,NN,#,#,#,#,able,0.5,0.5,1,0.4,0.4,1,ability,#
n-05029706,strength,NN,#,#,#,#,strong,0.1,0.7,1,0.1,0.5,1,ability,#
n-05203397,capacity,NN,#,#,#,#,capable,0.5,1,1,0.4,0.3,1,ability,#
n-05644922,inability,NN,#,#,#,#,incompetent,-0.6,0.7,1,-0.4,0.5,1,#,ability
n-05648146,incapacity,NN,#,#,#,#,incompetent,-0.6,0.7,1,-0.5,0.5,1,#,ability
n-05154241,incompetence,NN,#,#,#,#,incompetent,-0.6,0.7,1,-0.5,0.5,1,#,ability
n-14462946,weakness,NN,#,#,#,#,incompetent,-0.6,0.7,1,-0.4,0.5,1,#,ability
n-05113133,inadequacy,NN,#,#,#,#,incompetent,-0.6,0.7,1,-0.3,0.4,1,#,ability
n-14449405,lack,NN,#,#,#,#,incompetent,-0.6,0.7,1,-0.5,0.2,1,#,ability
n-05647867,incapability,NN,#,#,#,#,incompetent,-0.6,0.7,1,-0.4,0.3,1,#,ability
n-07226545,promise,NN,#,#,#,#,confident,0.5,1,1,0.5,1,1,promise,#
n-06770275,agreement,NN,#,#,#,#,confident,0.5,1,1,0.5,1,1,promise,#
n-04646990,commitment,NN,#,#,#,#,confident,0.5,1,1,0.5,1,1,promise,#
#,warrantly,NN,#,#,#,#,confident,0.5,1,1,0.5,1,1,promise,#
n-06685456,guarantee,NN,#,#,#,#,confident,0.5,1,1,0.5,1,1,promise,#
n-05697363,assurance,NN,#,#,#,#,confident,0.5,1,1,0.5,1,1,promise,#
n-04670022,reliability,NN,#,#,#,#,reasonable,0.2,0.6,1,0.2,0.6,1,#,#
n-13850304,scale,NN,#,#,#,#,useful,0.3,0,1,0.2,0,1,#,#
n-05210116,scalability,NN,#,#,#,#,useful,0.3,0,1,0.2,0,1,#,#
n-04718999,availability,NN,#,#,#,#,useful,0.3,0,1,0.2,0,1,#,#
n-04745932,consistence,NN,#,#,#,#,consistent,0.5,0.5,1,0.3,0,1,#,#
n-04934546,consistency,NN,#,#,#,#,consistent,0.5,0.5,1,0.3,0,1,#,#
n-13764342,worth,NN,#,#,#,#,important,0.5,1,1,0.3,0.3,1,#,#
n-07280072,callback,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-04746430,parallel,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-04745240 ,parallelism,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,parallelizable,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
#,concurrent,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-07176682,concurrency,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-07176682,concurrence,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-05196375,control,NN,#,#,#,#,useful,0.3,0,1,0.1,0,1,#,#
#,multi-threaded,NN,#,#,#,#,useful,0.3,0,1,0.7,0.4,1,#,#
#,multi-core,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
n-15298852,real-time,NN,#,#,#,#,useful,0.3,0,1,0.3,0,1,#,#
