review,sentiment
"fast write and read performance, and delivering true linear scale performance in a masterless, scale-out design, bests its top NoSQL database rivals in many use cases.",1
delivers higher performance under heavy workloads,1
presented relatively good performance in INSERT-only,1
performance in READ-and-UPDATE was better than the other two products. Cassandra’s READ-and-UPDATE might have been higher than READ-only due to Cassandra’s excellent insert throughout.,1
probably showed poor performance because the large data size exceeded the physical memory size.,0
the performance will relatively decrease,0
The reading and writing performance improved as more compactions are done.,1
"operates on a memory base and places high performance above data scalability. If reading and writing is conducted within the usable memory, then high-performance is possible.",1
performance is not guaranteed if operations exceed the given memory.,0
"how excellent writing abilities, but its reading performance did not meet expectations.",0
demonstrated superior performance over other NoSQL databases when it comes to throughput and latency across multiple configurations.,1
"High performance for instantaneous, always-on experiences",1
Is typically faster when inserting (much faster for more simple inserts),1
"is much more sane to deal with, it’s insanely fast, and managing the data is a no-brainer for us.",1
"he amount of data grows, overall system performance should remain predictable if the overall solution was designed and implemented with the user expectations in mind.",1
the performance can be made more predictable by having sufficient hardware processing capability as well as the network and storage devices sized appropriately.,1
"We're evaluating, but our benchmark shows that single insert in rethinkdb is not good. Performance is our biggest concern and it become a blocker for us to adopt it.",0
"you can take advantage its multi-threaded, multi-core, high performance NoSQL solution. This means that you can run several high throughput operations in parallel with 99% response times that are less than one millisecond. You can expect the same predictable performance running in-memory",1
"Performance is a big focus in the 4.5 release. Global indexes can now be optimized for in-memory operation, making them faster and lock-free. Array elements in a document can now be indexed as well, which makes the data in them searchable without them having to be extracted and turned into redundant, scalar elements.",1
"According to press release, the extensions ""increase performance of these queries by orders of magnitude.""",1
"the focus on maturity, performance and usability, as well as closing the gap on ""entitlements,"" like joins, strong indexing and query tooling, show that at least one NoSQL vendor is serious about competing with the RDBMS incumbents",1
address the challenges that the relational model does not by providing the following solution an architecture providing higher performance per node than RDBMS,1
A non-locking concurrency control mechanism so that real-time reads will not conflict writes,1
has excellent single-row read performance as long as eventual consistency semantics are sufficient for the use-case.,1
does not support Range based row-scans which may be limiting in certain use-cases.,0
Full index support for high performance,1
"Optimized for read, well suited for range based scan, fast read and write with scalability.",1
Fast random read/write,1
Full index support for high performance,1
Basically it says try to avoid  MR queries as it single-threaded and not supposed to be for real-time at all.,0
"Meybe aggregation framework will be change something, right now map reduce is dam slow",0
