review,sentiment
"MongoDB is a fast NoSQL database. Unfortunately, it’s not a cure for all your performance woes, and a single complex query can bring your code grinding to a halt. I recently suffered this fate, and it can be difficult to know where to look when your application suddenly becomes unstable.",0
"I wanted to compare speed with MongoDB and I ran a test which would get and print 15 records randomly from our huge databases. I ran the query about 1,000 times each for mysql and MongoDB and I am suprised that I do not notice a lot of difference in speed. Maybe MongoDB is 1.1 times faster. That's very disappointing. Is there something I am doing wrong? I know that my tests are not perfect but is MySQL on par with MongoDb when it comes to read intensive chores.",0
MongoDB is not magically faster.,0
MongoDB performance is going to be severely impacted as long as you cannot fit your working set plus critical pieces of the index in memory,0
MongoDB’s performance is better than that of MySQL and other relational DBs. This is because MongoDB sacrifices JOINS and other things and has excellent performance analysis tools.,1
"MongoDB performance is unpredictably bad, and mostly averages to low hundreds ( 200 / 300 ) documents per seconds.",0
MongoDB performance is best when the entire majority of the working dataset can be kept in RAM as it would be for latest Zipfian distributions.,1
Mongodb performance is better than Couchbase.,1
MongoDB's performance is derived in part from advanced stochastic branching techniques.,1
"MongoDB performance is acceptable, but not spectacular.",0
MongoDB's performance is significantly less than you might expect.,0
MongoDB's performance is particularly impacted by noisy neighbor problems,0
"MongoDB performance is horrible when it has to fetch documents from disk, but even if the documents are in memory, the same effect is expected (on aggregation queries) when data has to be move to the CPUs caches.",0
MongoDB performance is driven primarily by the speed of I/O operations.,1
MongoDB - Performance is slow,0
"MongoDB performance is poor in the scene, the total throughput of less than 10 thousand per second.",0
MongoDB performance is remarkably insensitive to Linux distro version,1
A better approach to improving MongoDB performance is to use Micron's P420m PCIe solid state drive SSD) as the primary storage device in each node.,1
The second factor affecting MongoDB performance is the interaction between the sharding scheme used by.,0
This is the reason why relating advertised disk performance to actual MongoDB performance is difficult.,0
"You'll hear this a lot, but the most important key to MongoDB performance is to size the system to keep the “working set” in memory.",1
"MongoDB performance is better than the one of MySQL (which is to be expected, given the fact that all major",1
The key to MongoDB performance is thoughtful data model design,1
MongoDB performance is typically not CPU-bound,1
"MongoDB performance is great, it's way faster than Mysql.",1
MongoDB performance is significantly worse here than the single node configuration.,0
MongoDB performance is not any longer affected by indexing and no data loss will occur in MongoDB,1
mongoDB's performance is more stable on this infrastructure than Cassandra.,1
MongoDb performance is penalized by HDD seek for every write operation.,0
MongoDB. Performance is good,1
"MongoDB performance is acceptable, but not spectacular.",0
CouchDB's performance is terrible,0
CouchDB's performance is in line with their needs,1
CouchDB's performance is not as easy to google as I hoped,0
CouchDB performance is often bottlenecked by GETting every revision with an individual request,0
"couchDB’s performance is already quite decent and it’s not even been tuned, so I’ve never attempted to benchmark it’s behavior.",1
"CouchDB. Performance is lousy of course, but I did it as a proof of concept, and it works ok",1
CouchDB performance is not as good as it occured to me at the beginning and it is also difficult to implement the advanced visualizer features,0
"RethinkDB performance is almost equal , i know something is off with my set up i have said that",0
"RethinkDB is very slow when I using Limit or Group with Sum, Insert and Read",0
RethinkDB is a fast and flexible JSON-based database management system.,1
"Neo4j's performance is good overall though, especially when compared to other dedicated graph databases.",1
Neo4j's performance is dramatically better for connected data sets – often the difference between something being possible and not possible.,1
Neo4j's performance is at par or in many cases even better than MySQL.,1
Neo4j performance is highly dependent on caching,1
The key to Neo4j performance is memory,1
"Neo4j performance is significantly better for all queries, except the simplest one.",1
Neo4j performance is comparable with Sesame but is still 0.8 s slower,0
Neo4J's performance is more negatively affected by the large graphs than imGraph's performance.,0
Neo4J's performance is more negatively affected by the large graphs than STEFFI's performance,0
neo4j performance is good,1
Neo4j performance is highly correlative to available memory.,1
"Neo4j's performance is better, which can be explained as follows",1
Neo4j. Performance is an important consideration as well.,1
Couchbase performance is awesome,1
"Couchbase, performance is derived in part from the close understanding of the cluster topology by the SDK",1
Couchbase performance is consistently fast even under load,1
Couchbase performance is tied more to I/O and RAM capacity than it is to CPU,1
Couchbase performance is best,1
"One key to Couchbase performance is to watch your working set size, so the more working set items you can fit into memory, the better.",1
"Redis’ performance is quantifiable and measurable by tracking several key metrics, and by monitoring these you can gain insight into how well your database is performing.",1
Redis' performance is made up of two key factors: throughput and latency.,1
redis performance is no where close to that of mongodb.,0
